SO2_key,HgSO2_key,post_1990
Agung,-,-
Alaid,-,-
Ambae,-,-
Ambrym,Ambrym,TRUE
Anatahan,-,-
Aoba,-,-
Arenal,-,-
Arjuno-Welirang,-,-
Asama,Asama,TRUE
Aso,Aso,TRUE
Augustine,-,-
Avachinsky,-,-
Awu,-,-
Bagana,-,-
Banda_Api,-,-
Barren_Island,-,-
Bezymianny,-,-
Bogoslof,-,-
Bromo,-,-
Bulusan,-,-
Calbuco,-,-
Cameroon,-,-
Canlaon,-,-
Cerro_Azul,-,-
Cerro_Negro,-,-
Chaiten,-,-
Chiginagak,-,-
Chikurachki,-,-
Chirinkotan,-,-
Cleveland,-,-
Colima,Colima,FALSE
Colo,-,-
Copahue,-,-
Cordon_Caulle,-,-
Cotopaxi,-,-
Dalaffilla,-,-
Dukono,-,-
Ebeko,-,-
Ebulobo,-,-
El_Chichon,-,-
Erebus,Erebus,TRUE
Erta Ale,-,-
Etna,Etna,TRUE
Eyjafjallajokull,-,-
Fernandina,-,-
Fogo,-,-
Fourpeaked,-,-
Fuego,-,-
Fukutoku_Okanoba,-,-
Galeras,-,-
Galunggung,-,-
Gamalama,-,-
Gamkonora,-,-
Garbuna,-,-
Gareloi,-,-
Gaua,-,-
Great_Sitkin,-,-
Grimsvotn,-,-
Heard,-,-
Hekla,-,-
Holuhraun,-,-
Home_Reef,-,-
Hudson,-,-
Hunga_Tonga_Hungaapai,-,-
Ijen,-,-
Isluga,-,-
Jebel_al_Tair,-,-
Kadovar,-,-
Kambalny,-,-
Kanlaon,-,-
Karangetang,-,-
Karkar,-,-
Karthala,-,-
Karymsky,-,-
Kasatochi,-,-
Kelut,-,-
Kerinci,-,-
Ketoy island,-,-
Kikai,-,-
Kilauea,Kilauea,TRUE
Kirishimayama,-,-
Kizimen,-,-
Kizimenk,-,-
Kliuchevskoi,-,-
Korovin,-,-
Koryaksky,-,-
Krafla,-,-
Krakatau,-,-
Kuchinoerabujima,-,-
La_Palma,-,-
Langila,-,-
Lascar,-,-
Lastarria,-,-
Lateiki,-,-
Lewotolo,-,-
Llaima,-,-
Lokon_Empung,-,-
Lonquimay,-,-
Lopevi,-,-
Makian,-,-
Makushin,-,-
Manam,-,-
Manda_Hararo,-,-
Marchena,-,-
Mariveles,-,-
Masaya,Masaya,TRUE
Mauna_Loa,-,-
Mayon,-,-
Medvezhia,-,-
Merapi,-,-
Michael,-,-
Miyakejima,Miyake-jima,TRUE
Momotombo,-,-
Montagu,-,-
Mt_St_Helens,Saint Helens,FALSE
Mutnovsky,Mutnofsky,TRUE
Nabro,-,-
Nevado del Huila,-,-
Nevado del Ruiz,-,-
Nishinoshima,-,-
Nyamuragira,Nyiragongo + Nyamuragira,TRUE
Nyiragongo,Nyiragongo + Nyamuragira,TRUE
Okmok,-,-
Oldoinyo_Lengai,-,-
Ontakesan,-,-
Oshima,-,-
Pacaya,-,-
Padang,-,-
Pagan,-,-
Paluweh,-,-
Papandayan,-,-
Pavlof,-,-
Peteroa,-,-
Pinatubo,-,-
Piton_de_la_Fournaise,-,-
Planchon_Peteroa,-,-
Popocatepetl,Popocatepetl,TRUE
Rabaul,-,-
Raikoke,-,-
Raung,-,-
Redoubt,-,-
Reunuin,-,-
Reventador,-,-
Rincon_de_la_Vieja,Rincon de la Vieja,TRUE
Rinjani,-,-
Ruang,-,-
Ruapehu,-,-
Ruiz,-,-
Sabancaya,-,-
Sakura-jima,-,-
San_Cristobal,-,-
San_Miguel,-,-
Sangay,-,-
Sangeang_Api,-,-
Santa Maria,-,-
Santa_Ana,-,-
Sarychev,-,-
Semisopochnoi,-,-
Sheveluch,-,-
Shishaldin,-,-
Sierra_Negra,-,-
Sinabung,-,-
Sirung,-,-
Slamet,-,-
Soputan,-,-
Soufriere_Hills,Soufriere Hills,TRUE
Soufriere_St_Vincent,-,-
South_Sarigan,-,-
Spurr,-,-
Stromboli,Stromboli,TRUE
Suwanose-jima,-,-
Taal,-,-
Talang,-,-
Tana,-,-
Tavurvur,-,-
Telica,-,-
Tengger Caldera,-,-
Tinakula,-,-
Tofua,-,-
Tokachi,-,-
Tolbachik,-,-
Tongariro,-,-
Tungurahua,-,-
Turrialba,Turrialba,TRUE
Ubinas,-,-
Ulawun,-,-
Usulutan,-,-
Veniaminof,-,-
Villarrica,-,-
White Island,White Island,TRUE
Wolf,-,-
Yasur,Yasur,TRUE
Zhupanovsky,-,-
Zubair_Group,-,-
