location,level,month,species,Hg [Mg],time
Pinatubo,5,1,Hg0,52.64607620239258,2
Pinatubo,5,1,Hg0,52.060306549072266,4
Pinatubo,5,1,Hg0,51.6511344909668,6
Pinatubo,5,1,Hg0,51.33627700805664,8
Pinatubo,5,1,Hg0,50.97700119018555,10
Pinatubo,5,1,Hg0,50.662139892578125,12
Pinatubo,5,1,Hg0,50.36720275878906,14
Pinatubo,5,1,Hg0,50.02104187011719,16
Pinatubo,5,1,Hg0,49.65230178833008,18
Pinatubo,5,1,Hg0,49.30434036254883,20
Pinatubo,5,1,Hg0,48.9893684387207,22
Pinatubo,5,1,Hg0,48.68236541748047,24
Pinatubo,5,1,Hg0,48.37859344482422,26
Pinatubo,5,1,Hg0,48.063419342041016,28
Pinatubo,5,1,Hg0,47.71993637084961,30
Pinatubo,5,1,Hg0,47.32780838012695,32
Pinatubo,5,1,Hg0,46.95530319213867,34
Pinatubo,5,1,Hg0,46.59123229980469,36
Pinatubo,5,1,Hg0,46.23103332519531,38
Pinatubo,5,1,Hg0,45.88497543334961,40
Pinatubo,5,1,Hg0,45.551536560058594,42
Pinatubo,5,1,Hg0,45.21186828613281,44
Pinatubo,5,1,Hg0,44.85226821899414,46
Pinatubo,5,1,Hg0,44.495548248291016,48
Pinatubo,5,1,Hg0,44.145381927490234,50
Pinatubo,5,1,Hg0,43.79179382324219,52
Pinatubo,5,1,Hg0,43.41724395751953,54
Pinatubo,5,1,Hg0,43.044151306152344,56
Pinatubo,5,1,Hg0,42.68777084350586,58
Pinatubo,5,1,Hg0,42.36012268066406,60
Pinatubo,5,1,Hg0,42.025489807128906,62
Pinatubo,5,1,Hg0,41.695316314697266,64
Pinatubo,5,1,Hg0,41.37968444824219,66
Pinatubo,5,1,Hg0,41.0590705871582,68
Pinatubo,5,1,Hg0,40.73216247558594,70
Pinatubo,5,1,Hg0,40.399009704589844,72
Pinatubo,5,1,Hg0,40.07598876953125,74
Pinatubo,5,1,Hg0,39.76287078857422,76
Pinatubo,5,1,Hg0,39.44791030883789,78
Pinatubo,5,1,Hg0,39.12739562988281,80
Pinatubo,5,1,Hg0,38.81521224975586,82
Pinatubo,5,1,Hg0,38.49904251098633,84
Pinatubo,5,1,Hg0,38.177860260009766,86
Pinatubo,5,1,Hg0,37.86124038696289,88
Pinatubo,5,1,Hg0,37.54930114746094,90
Pinatubo,5,1,Hg0,37.244686126708984,92
Pinatubo,5,1,Hg0,36.94996643066406,94
Pinatubo,5,1,Hg0,36.65867614746094,96
Pinatubo,5,1,Hg0,36.36635971069336,98
Pinatubo,5,1,Hg0,36.07857894897461,100
Pinatubo,5,1,Hg0,35.791038513183594,102
Pinatubo,5,1,Hg0,35.49772644042969,104
Pinatubo,5,1,Hg0,35.21367263793945,106
Pinatubo,5,1,Hg0,34.9340705871582,108
Pinatubo,5,1,Hg0,34.653804779052734,110
Pinatubo,5,1,Hg0,34.36360549926758,112
Pinatubo,5,1,Hg0,34.07837677001953,114
Pinatubo,5,1,Hg0,33.80317687988281,116
Pinatubo,5,1,Hg0,33.52313995361328,118
Pinatubo,5,1,Hg0,33.251041412353516,120
Pinatubo,5,1,Hg0,32.98966979980469,122
Pinatubo,5,1,Hg0,32.73285675048828,124
Pinatubo,5,1,Hg0,32.47724151611328,126
Pinatubo,5,1,Hg0,32.22203826904297,128
Pinatubo,5,1,Hg0,31.965030670166016,130
Pinatubo,5,1,Hg0,31.703760147094727,132
Pinatubo,5,1,Hg0,31.45276641845703,134
Pinatubo,5,1,Hg0,31.209381103515625,136
Pinatubo,5,1,Hg0,30.969528198242188,138
Pinatubo,5,1,Hg0,30.731151580810547,140
Pinatubo,5,1,Hg0,30.48073959350586,142
Pinatubo,5,1,Hg0,30.23650550842285,144
Pinatubo,5,1,Hg0,29.992416381835938,146
Pinatubo,5,1,Hg0,29.7492733001709,148
Pinatubo,5,1,Hg0,29.513004302978516,150
Pinatubo,5,1,Hg0,29.274988174438477,152
Pinatubo,5,1,Hg0,29.03787612915039,154
Pinatubo,5,1,Hg0,28.798219680786133,156
Pinatubo,5,1,Hg0,28.559734344482422,158
Pinatubo,5,1,Hg0,28.319284439086914,160
Pinatubo,5,1,Hg0,28.081035614013672,162
Pinatubo,5,1,Hg0,27.842086791992188,164
Pinatubo,5,1,Hg0,27.598665237426758,166
Pinatubo,5,1,Hg0,27.36693000793457,168
Pinatubo,5,1,Hg0,27.130842208862305,170
Pinatubo,5,1,Hg0,26.901798248291016,172
Pinatubo,5,1,Hg0,26.675899505615234,174
Pinatubo,5,1,Hg0,26.452543258666992,176
Pinatubo,5,1,Hg0,26.229740142822266,178
Pinatubo,10,1,Hg0,97.53414916992188,2
Pinatubo,10,1,Hg0,96.24574279785156,4
Pinatubo,10,1,Hg0,95.45767974853516,6
Pinatubo,10,1,Hg0,94.87259674072266,8
Pinatubo,10,1,Hg0,94.17726135253906,10
Pinatubo,10,1,Hg0,93.53599548339844,12
Pinatubo,10,1,Hg0,92.91719818115234,14
Pinatubo,10,1,Hg0,92.19894409179688,16
Pinatubo,10,1,Hg0,91.45283508300781,18
Pinatubo,10,1,Hg0,90.77008819580078,20
Pinatubo,10,1,Hg0,90.16321563720703,22
Pinatubo,10,1,Hg0,89.58026123046875,24
Pinatubo,10,1,Hg0,89.00669860839844,26
Pinatubo,10,1,Hg0,88.41706085205078,28
Pinatubo,10,1,Hg0,87.77578735351562,30
Pinatubo,10,1,Hg0,87.0478744506836,32
Pinatubo,10,1,Hg0,86.35997772216797,34
Pinatubo,10,1,Hg0,85.68978118896484,36
Pinatubo,10,1,Hg0,85.02731323242188,38
Pinatubo,10,1,Hg0,84.3924331665039,40
Pinatubo,10,1,Hg0,83.78081512451172,42
Pinatubo,10,1,Hg0,83.15927124023438,44
Pinatubo,10,1,Hg0,82.50070190429688,46
Pinatubo,10,1,Hg0,81.84642791748047,48
Pinatubo,10,1,Hg0,81.20392608642578,50
Pinatubo,10,1,Hg0,80.55563354492188,52
Pinatubo,10,1,Hg0,79.86811828613281,54
Pinatubo,10,1,Hg0,79.1816635131836,56
Pinatubo,10,1,Hg0,78.52500915527344,58
Pinatubo,10,1,Hg0,77.9212875366211,60
Pinatubo,10,1,Hg0,77.30436706542969,62
Pinatubo,10,1,Hg0,76.6955337524414,64
Pinatubo,10,1,Hg0,76.11360931396484,66
Pinatubo,10,1,Hg0,75.5231704711914,68
Pinatubo,10,1,Hg0,74.92129516601562,70
Pinatubo,10,1,Hg0,74.30801391601562,72
