,Mg / yr,Mg / yr,Silver regions,,,,,Regional Emiss,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Air,Land/Water,North America,South America,Europe,Former USSR,Asia,NA Air,NA Land/Water,NA Gold,SA Air,SA LW,Mining,No Mining,MinamataYear,Minamata,MinamataLW,LandfillYear,Lffrac,LandfillNA,LFYear,Landfill,,Copper Smelting,Zinc Smelting,Lead Smelting,Iron Manufacturing,Steel Manufacturing,Mercury Production,"Gold Production, large-scale","Gold Production, artisanal",Silver Production,,,Cement Manufacturing,Caustic Soda Manufacturing,Coal Combustion,Oil Combustion,Municipal Waste Incineration,Other Waste Burning,Electrical & Measuring Equip't,Chemicals Manufacturing,Dental,,,YearSplit,LWpre1850,LW1850-1900,LW1900-1950,LW1950-1990,LW1990-2000,LW2000-2010,AIRpre1850,AIR1850-1900,AIR1900-1950,AIR1950-1990,AIR1990-2000,AIR2000-2010,,YearVolc,Tambora,Krakatoa,Pinatubo,,GoldYear,"Gold Production, large-scale","Gold Production, artisanal",WorldGoldAir,,"Gold Production, large-scale","Gold Production, artisanal",WorldGoldLW,,Coal Year,Coal Air,Coal LW,,
-2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2001,0,0,-2001,0,0,-2001,0,,0.0259069,0.02313,0.07416,0.062865,0.00068,764.5981967,85.644,0,329.0617085,1179.490647,,0,0,1.353481395,0,0,0,0,4.677484543,0,6.030965938,,-2001,0,0,0,0,0,0,0,0,0,0,0,0,,-2001,0,0,0,,-2001,0,0,0,,0,0,0,,-2001,0,0,,
1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,0,0,1950,0,0,1900,0,,0.04779,0.057285,0.09552,0.1109775,0.003506,899.2721382,135.9384,0.016363636,408.7185985,1444.260579,,0,0,2.361495451,0,0,0,0,11.51719312,0,13.87868857,,1500,0,0,0,0,0,0,0,0,0,0,0,0,,1814,0,0,0,,1510,2.16199516,0,2.16199516,,3.24299274,0,3.24299274,,1510,4.61E-05,0.000299162,0.000345257,
1510,33.51661215,88.22384226,0,0,10.957167,0,7.57790775,0.01043276,0.01564914,0.01564914,1.304525733,31.73822745,88.22,0,2017,0,0,1980,0.42,206.64,1950,400,,0.0530705,0.073035,0.12192,0.180375,0.006549,1499.619414,142.35,0.032727273,1450.712374,3093.149465,,0,0.272374463,3.902334959,0,0,0,0,25.12431966,0,29.29902908,,1510,88.22384226,0,0,0,0,0,33.51661215,0,0,0,0,0,,1815,1000,0,0,,1520,2.191250591,0,2.191250591,,3.286875887,0,3.286875887,,1520,6.20E-05,0.000402128,0.000464089,
1520,37.86581585,98.39127767,0,0,14.141301,0,8.119186875,0.03129828,0.04694742,0.04694742,5.067489643,112.5904874,98.39,0,2017.1,2400,2845,2010,0.36,39.24,1980,2700,,0.0928365,0.16578,0.181056,0.27381,0.04314,2744.247509,124.176,0.049090909,1934.551187,4803.780409,,0,1.824083525,6.072043606,0,0,0,0,51.05919683,0,58.95532396,,1520,98.39127767,0,0,0,0,0,37.86581585,0,0,0,0,0,,1816,0,0,0,,1530,2.471238712,0,2.471238712,,3.706858068,0,3.706858068,,1530,8.33E-05,0.000540534,0.00062382,
1530,44.06775277,150.9427439,9.8928092,31.4987904,17.325435,0,8.660466,0.42431885,10.10798488,0.215175675,7.815219524,181.986476,150.94,0,2050,1181,1756,,,,2010,800,,0.162427,0.190845,0.27612,0.410505,0.12425,2595.790558,128.7899352,7.691654286,2498.663097,5232.099392,,0,4.820202618,10.04922569,0,0,0,0.112159145,103.0262155,0,118.007803,,1530,150.9427439,0,0,0,0,0,44.06775277,0,0,0,0,0,,1882,0,0,0,,1540,3.385019176,0,3.385019176,,5.077528764,0,5.077528764,,1540,0.000111953,0.000726576,0.000838528,
1540,52.81085192,253.1181949,19.7856184,110.9957376,20.509569,0,9.201745125,0.707050243,20.00358856,0.217970164,41.9631187,354.7268697,253.12,0,2100,1181,1756,,,,2010.1,0,,0.301431,0.215145,0.451296,0.61113,0.28224,2285.8745,259.5129697,11.69489981,2023.22914,4582.172752,,0,7.255065241,16.04917464,0,0,0,0.601748198,229.1773223,0,253.0833104,,1540,253.1181949,0,0,0,0,0,52.81085192,0,0,0,0,0,,1883,0,1000,0,,1550,3.627253036,0,3.627253036,,5.440879554,0,5.440879554,,1550,0.000150485,0.00097665,0.001127135,
1550,60.71656481,344.5271511,29.6784276,179.993088,23.693703,0,9.74302425,0.989781636,29.89919225,0.220764654,46.08391983,417.4551807,344.53,0,,,,,,,2100,0,,3.310549326,7.376382221,5.66357931,1.272144048,0.917630137,1924.923552,495.1947795,130.6512037,1009.174085,3578.483906,,0.066841359,8.07218863,28.38436422,0,0,0,2.775776081,548.4472065,0,587.7463768,,1550,344.5271511,0,0,0,0,0,60.71656481,0,0,0,0,0,,1884,0,0,0,,1560,3.8672608,0,3.8672608,,5.8008912,0,5.8008912,,1560,0.000202279,0.001312796,0.001515076,
1560,96.15517713,529.4016193,39.5712368,241.4907264,24.13854525,0,10.28430338,1.272513029,39.79479594,0.223559143,50.31228361,480.5596118,529.4,0,,,,,,,,,,10.44067498,20.55583846,14.62203356,1.891103651,2.041135793,765.7387753,376.5229335,140.302362,285.2207798,1617.335637,,0.289124661,6.654190669,30.94785502,0,0,0,78.53913009,868.0897628,0,984.5200633,,1560,529.4016193,0,0,0,0,0,96.15517713,0,0,0,0,0,,1990,0,0,0,,1570,4.107268564,0,4.107268564,,6.160902846,0,6.160902846,,1570,0.0002719,0.001764638,0.002036538,
1570,101.5717889,604.2814567,49.464046,297.3635808,24.5833875,0,10.8255825,1.555244421,49.69039963,0.226353632,54.54818054,543.9026264,604.28,0,,,,,,,,,,27.14897115,57.94153063,38.42439489,3.053715853,3.823036306,546.1951398,490.7392888,172.325705,154.2803139,1493.932096,,1.17065543,67.13614124,29.85340164,0,0,0,100.311896,1523.700568,8.384312664,1730.556975,,1570,604.2814567,0,0,0,0,0,101.5717889,0,0,0,0,0,,1991,0,0,1000,,1580,4.333585843,0,4.333585843,,6.500378764,0,6.500378764,,1580,0.000365483,0.002371995,0.002737479,
1580,107.0874775,679.5345713,59.3568552,353.2364352,25.02822975,0,11.36686163,1.837975814,59.58600332,0.229148121,58.8513924,607.5871333,679.53,0,,,,,,,,,,46.26469995,88.94505611,49.63520171,4.507409408,6.722111606,502.6437785,953.6897754,307.7035083,88.45144117,2048.562982,,2.132084541,17.25982719,34.67081993,0,0,0,329.2052783,3038.301956,23.11472537,3444.684692,,1580,679.5345713,0,0,0,0,0,107.0874775,0,0,0,0,0,,1992,0,0,0,,1590,4.453605761,0,4.453605761,,6.680408642,0,6.680408642,,1590,0.000491276,0.003188395,0.003679671,
1590,110.908846,752.4834389,69.2496644,409.1092896,22.91230247,0,11.90814075,2.120707207,69.48160701,0.231942611,58.44523017,579.7978816,752.48,0,,,,,,,,,,55.37342462,123.5195494,54.26055489,6.021587218,9.641732993,453.5133932,737.5911317,214.6166286,46.74694856,1701.284951,,4.717023786,67.83889285,44.48241142,0,0,0,423.9184417,990.4761064,28.69526387,1560.12814,,1590,752.4834389,0,0,0,0,0,110.908846,0,0,0,0,0,,2100,0,0,0,,1600,4.520477,0,4.520477,,6.7807155,0,6.7807155,,1600,0.000660365,0.004285784,0.004946149,
1600,113.4124871,823.7062249,79.1424736,464.982144,17.38201581,0,13.77801409,2.4034386,79.3772107,0.2347371,58.04831929,552.0405347,823.71,0,,,,,,,,,,96.12589073,194.1725886,82.91480465,11.43959014,17.68899496,856.666548,872.1286548,305.7475735,13.36059633,2450.245242,,13.09658893,929.4419115,64.30999852,0,0,0,663.0081427,1925.506587,61.92381068,3657.287039,,1600,823.7062249,0,0,0,0,0,113.4124871,0,0,0,0,0,,,,,,,1610,4.501553095,0,4.501553095,,6.752329643,0,6.752329643,,1610,0.000887651,0.005760876,0.006648527,
1610,117.6111124,838.2063964,102.6257322,434.983296,11.85172916,0,15.64788743,3.0753721,102.8682938,0.24256167,57.66080877,524.315576,838.21,0,,,,,,,,,,139.5902941,317.9762503,123.4563445,19.99387343,31.95655151,764.5759507,1104.582791,396.8386138,3.042228873,2902.012898,,28.03606827,1855.228959,80.61967792,0,0,0,1286.494279,1600.16248,96.14031585,4946.68178,,1610,838.2063964,0,0,0,0,0,117.6111124,0,0,0,0,0,,,,,,,1620,4.48262919,0,4.48262919,,6.723943786,0,6.723943786,,1620,0.001193165,0.007743669,0.008936834,
1620,122.5746001,834.2316532,102.6257322,404.984448,6.3214425,0,17.51776077,3.08058848,102.8761184,0.25038624,57.28285054,496.6234965,834.23,0,,,,,,,,,,171.6391864,372.1418413,126.4492971,22.95818141,38.96340223,636.5378402,901.528383,306.9225595,1.036714821,2578.177406,,47.50439941,773.482542,134.5175044,0,0,0,2590.24702,926.228464,55.20346516,4527.183395,,1620,834.2316532,0,0,0,0,0,122.5746001,0,0,0,0,0,,,,,,,1630,4.463705286,0,4.463705286,,6.695557928,0,6.695557928,,1630,0.001603832,0.010408904,0.012012735,
1630,133.4311421,851.0304074,111.4481718,374.9856,6.637514625,0,19.38763411,3.33628422,111.7063827,0.25821081,56.91459962,468.9647943,851.03,0,,,,,,,,,,203.0783435,430.5647854,123.398801,22.80383423,41.04876948,476.118667,1664.251395,531.8112574,0.251250379,3493.327103,,63.18839837,1783.902649,195.2371914,0,0,0,2259.041118,296.1968087,107.9268269,4705.492992,,1630,851.0304074,0,0,0,0,0,133.4311421,0,0,0,0,0,,,,,,,1640,4.444781381,0,4.444781381,,6.667172071,0,6.667172071,,1640,0.002155842,0.013991466,0.016147309,
1640,146.1646412,866.4491083,111.4481718,344.986752,6.95358675,0,21.25750745,3.3415006,111.7142072,0.26603538,55.83250864,438.807006,866.45,0,,,,,,,,,,301.9017283,529.4570021,142.2825186,27.08155607,45.59748325,127.3989276,1992.141629,875.5034827,0.033541215,4041.397868,,91.59600633,708.1722123,224.406332,0,0,0,1483.242775,458.0277692,123.992679,3089.437774,,1640,866.4491083,0,0,0,0,0,146.1646412,0,0,0,0,0,,,,,,,1650,4.425857476,0,4.425857476,,6.638786214,0,6.638786214,,1650,0.002897846,0.018807084,0.021704929,
1650,152.0425039,865.9075743,120.3744049,314.987904,7.269658875,0,23.1273808,3.600143156,120.6482649,0.27385995,54.75074969,408.6496821,865.91,0,,,,,,,,,,361.6555016,670.3662467,167.500579,39.35725271,75.95392317,78.30986056,1988.803055,1090.185,0.004617887,4472.136036,,176.3435618,228.0028484,457.221793,0,0,0,1005.158044,862.7731859,115.5381452,2845.037578,,1650,865.9075743,0,0,0,0,0,152.0425039,0,0,0,0,0,,,,,,,1660,4.406933571,0,4.406933571,,6.610400357,0,6.610400357,,1660,0.003895233,0.025280153,0.029175386,
